,id,textBook,grade,articleId,Page,sentenceId,sentence,mask_id,masked_Word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
11,1468,NH,3,21,P101,13,There was a dark hallway.  ,4,dark,[CLS],There,was,a,[MASK],hallway,.,[SEP],,,,,,,,,,,,,,,,,,
12,235,NH,1,17,P78,18,"It’s fall in Japan, so it’s spring in Brazil.",3,fall,[CLS],It,’s,[MASK],in,Japan,",",so,it,’s,spring,in,Brazil,.,[SEP],,,,,,,,,,,
13,1271,NH,3,12,P55,10,"On the morning of that day, a big bomb fell on the city of Hiroshima.",11,fell,[CLS],On,the,morning,of,that,day,",",a,big,bomb,[MASK],on,the,city,of,Hiroshima,.,[SEP],,,,,,,
14,1276,NH,3,12,P55,15,Some of the people fell down near me.,5,fell,[CLS],Some,of,the,people,[MASK],down,near,me,.,[SEP],,,,,,,,,,,,,,,
15,1474,NH,3,21,P101,19,"She began to fall, but Rudolf caught her in his arms and carried her to a sofa in the room.  ",4,fall,[CLS],She,began,to,[MASK],",",but,Rudolf,caught,her,in,his,arms,and,carried,her,to,a,sofa,in,the,room,.,[SEP],,
16,917,NH,2,22,P99,29,"Tsutomu’s Italian voice trainer once said to him, Your voice is a gift from God, and also from your father.",15,gift,[CLS],Tsutomu,’s,Italian,voice,trainer,once,said,to,him,",",Your,voice,is,a,[MASK],from,God,",",and,also,from,your,father,.,[SEP]
17,1170,NH,3,7,P32,10,What is your next goal?,5,goal,[CLS],What,is,your,next,[MASK],?,[SEP],,,,,,,,,,,,,,,,,,
18,1450,NH,3,20,P98,12,"But as we were all working hard for the same goal, we came to accept one another.  ",11,goal,[CLS],But,as,we,were,all,working,hard,for,the,same,[MASK],",",we,came,to,accept,one,another,.,[SEP],,,,,
19,417,NH,1,30,P122,4,It took about one and a half hours by plane.,7,half,[CLS],It,took,about,one,and,a,[MASK],hours,by,plane,.,[SEP],,,,,,,,,,,,,
20,556,NH,2,6,P24,33,This is the dining hall.,5,hall,[CLS],This,is,the,dining,[MASK],.,[SEP],,,,,,,,,,,,,,,,,,
21,559,NH,2,6,P24,36,So I remember this hall from many scenes.,5,hall,[CLS],So,I,remember,this,[MASK],from,many,scenes,.,[SEP],,,,,,,,,,,,,,,
22,891,NH,2,22,P96,3,I hate my father and mother.,2,hate,[CLS],I,[MASK],my,father,and,mother,.,[SEP],,,,,,,,,,,,,,,,,
23,981,NH,2,27,P114,3,A hero and his friends travel to the stars to search for treasure.,2,hero,[CLS],A,[MASK],and,his,friends,travel,to,the,stars,to,search,for,treasure,.,[SEP],,,,,,,,,,
24,721,NH,2,14,P58,17,Everyone in my host family is kind to me.,4,host,[CLS],Everyone,in,my,[MASK],family,is,kind,to,me,.,[SEP],,,,,,,,,,,,,,
25,722,NH,2,14,P58,18,But my host mother always gives me too much food.,3,host,[CLS],But,my,[MASK],mother,always,gives,me,too,much,food,.,[SEP],,,,,,,,,,,,,
26,725,NH,2,14,P58,21,You must tell your host mother.,5,host,[CLS],You,must,tell,your,[MASK],mother,.,[SEP],,,,,,,,,,,,,,,,,
27,734,NH,2,14,P60,30,My host family is very busy.,2,host,[CLS],My,[MASK],family,is,very,busy,.,[SEP],,,,,,,,,,,,,,,,,
28,736,NH,2,14,P60,32,Saki’s host family always takes her to interesting places.,3,host,[CLS],Saki,’s,[MASK],family,always,takes,her,to,interesting,places,.,[SEP],,,,,,,,,,,,,
29,738,NH,2,14,P60,34,"Carlo, you must not compare host families.",7,host,[CLS],Carlo,",",you,must,not,compare,[MASK],families,.,[SEP],,,,,,,,,,,,,,,
30,512,NH,2,4,P12,22,Let's keep in touch.,3,keep,[CLS],Let,'s,[MASK],in,touch,.,[SEP],,,,,,,,,,,,,,,,,,
31,1314,NH,3,13,P60,14,And I think it’s important to keep the past in mind.,8,keep,[CLS],And,I,think,it,’s,important,to,[MASK],the,past,in,mind,.,[SEP],,,,,,,,,,,
32,1378,NH,3,15,P76,35,"In my opinion, you should keep thinking about the best way to live with robots.",7,keep,[CLS],In,my,opinion,",",you,should,[MASK],thinking,about,the,best,way,to,live,with,robots,.,[SEP],,,,,,,
33,1425,NH,3,17,P88,29,"The world that she wants may not come easily, but she keeps striving for it.",13,keeps,[CLS],The,world,that,she,wants,may,not,come,easily,",",but,she,[MASK],striving,for,it,.,[SEP],,,,,,,
34,1437,NH,3,19,P96,4,I’m going to keep playing volleyball.  ,5,keep,[CLS],I,’m,going,to,[MASK],playing,volleyball,.,[SEP],,,,,,,,,,,,,,,,
35,106,NH,1,6,P42,21,Do you know about judo?,3,know,[CLS],Do,you,[MASK],about,judo,?,[SEP],,,,,,,,,,,,,,,,,,
36,196,NH,1,15,P70,10,Do you know the animals of Australia?,3,know,[CLS],Do,you,[MASK],the,animals,of,Australia,?,[SEP],,,,,,,,,,,,,,,,
37,197,NH,1,15,P70,11,I know koalas and kangaroos.,2,know,[CLS],I,[MASK],koalas,and,kangaroos,.,[SEP],,,,,,,,,,,,,,,,,,
38,203,NH,1,15,P70,17,I don’t know.,4,know,[CLS],I,do,n’t,[MASK],.,[SEP],,,,,,,,,,,,,,,,,,,
39,263,NH,1,19,P86,12,Do you know this book?,3,know,[CLS],Do,you,[MASK],this,book,?,[SEP],,,,,,,,,,,,,,,,,,
40,271,NH,1,19,P88,20,Do you know any other good books?,3,know,[CLS],Do,you,[MASK],any,other,good,books,?,[SEP],,,,,,,,,,,,,,,,
41,274,NH,1,19,P88,23,"Oh, I know Peter Rabbit.",4,know,[CLS],Oh,",",I,[MASK],Peter,Rabbit,.,[SEP],,,,,,,,,,,,,,,,,
42,277,NH,1,19,P88,26,Do you know about her?,3,know,[CLS],Do,you,[MASK],about,her,?,[SEP],,,,,,,,,,,,,,,,,,
43,557,NH,2,6,P24,34,Maybe you know it from the Harry Potter movies.,3,know,[CLS],Maybe,you,[MASK],it,from,the,Harry,Potter,movies,.,[SEP],,,,,,,,,,,,,,
44,643,NH,2,12,P48,14,She knows a lot about nature.,2,knows,[CLS],She,[MASK],a,lot,about,nature,.,[SEP],,,,,,,,,,,,,,,,,
45,718,NH,2,14,P56,14,But I don’t know how.,5,know,[CLS],But,I,do,n’t,[MASK],how,.,[SEP],,,,,,,,,,,,,,,,,
46,771,NH,2,16,P70,8,Did you know that shampoo bottles have bumps?,3,know,[CLS],Did,you,[MASK],that,shampoo,bottles,have,bumps,?,[SEP],,,,,,,,,,,,,,,
47,945,NH,2,25,P104,8,Winter knows that Sawyer saved her life.,2,knows,[CLS],Winter,[MASK],that,Sawyer,saved,her,life,.,[SEP],,,,,,,,,,,,,,,,
48,1069,NH,3,2,P12,26,"I knew little about them before, but I learned that both are much loved in foreign countries.",2,knew,[CLS],I,[MASK],little,about,them,before,",",but,I,learned,that,both,are,much,loved,in,foreign,countries,.,[SEP],,,,,
49,1119,NH,3,5,P20,21,Today aloha shirts are known around the world as example of Hawaiian culture.,5,known,[CLS],Today,aloha,shirts,are,[MASK],around,the,world,as,example,of,Hawaiian,culture,.,[SEP],,,,,,,,,,
50,1133,NH,3,6,P24,11,How did you know that?,4,know,[CLS],How,did,you,[MASK],that,?,[SEP],,,,,,,,,,,,,,,,,,
51,1137,NH,3,6,P24,15,How long have you known him?,5,known,[CLS],How,long,have,you,[MASK],him,?,[SEP],,,,,,,,,,,,,,,,,
52,1209,NH,3,8,P40,35,The children in today’s video don’t know that cacao is made into chocolate.,9,know,[CLS],The,children,in,today,’s,video,do,n’t,[MASK],that,cacao,is,made,into,chocolate,.,[SEP],,,,,,,,
53,1302,NH,3,13,P58,2,Do you know what to do in an emergency?,3,know,[CLS],Do,you,[MASK],what,to,do,in,an,emergency,?,[SEP],,,,,,,,,,,,,,
54,1351,NH,3,15,P72,8,Do you know what they can do?,3,know,[CLS],Do,you,[MASK],what,they,can,do,?,[SEP],,,,,,,,,,,,,,,,
55,1355,NH,3,15,P72,12,I know what you mean. ,2,know,[CLS],I,[MASK],what,you,mean,.,[SEP],,,,,,,,,,,,,,,,,,
56,1374,NH,3,15,P76,31,"If they get out of control, we don’t know what they’ll do.",11,know,[CLS],If,they,get,out,of,control,",",we,do,n’t,[MASK],what,they,’ll,do,.,[SEP],,,,,,,,
57,1527,NH,3,22,P107,14,Michio saw how humans and animals shared the land.  ,9,land,[CLS],Michio,saw,how,humans,and,animals,shared,the,[MASK],.,[SEP],,,,,,,,,,,,,,
58,1438,NH,3,19,P96,5,I want to be a player who can lead a team to the national tournament.,9,lead,[CLS],I,want,to,be,a,player,who,can,[MASK],a,team,to,the,national,tournament,.,[SEP],,,,,,,,
59,869,NH,2,20,P92,4,Its main palace is popular.  ,2,main,[CLS],Its,[MASK],palace,is,popular,.,[SEP],,,,,,,,,,,,,,,,,,
60,299,NH,1,21,P96,12,The man is changing his masks so fast.,6,masks,[CLS],The,man,is,changing,his,[MASK],so,fast,.,[SEP],,,,,,,,,,,,,,,
61,1459,NH,3,21,P100,4,Rudolf picked it up.  ,2,picked,[CLS],Rudolf,[MASK],it,up,.,[SEP],,,,,,,,,,,,,,,,,,,
62,525,NH,2,6,P18,2,What are your plans for the holidays?,4,plans,[CLS],What,are,your,[MASK],for,the,holidays,?,[SEP],,,,,,,,,,,,,,,,
63,614,NH,2,10,P42,5,Do you have any plans next Sunday afternoon?,5,plans,[CLS],Do,you,have,any,[MASK],next,Sunday,afternoon,?,[SEP],,,,,,,,,,,,,,,
64,620,NH,2,10,P42,11,Your plan surprised me very much.,2,plan,[CLS],Your,[MASK],surprised,me,very,much,.,[SEP],,,,,,,,,,,,,,,,,
65,955,NH,2,25,P106,18,He plans a charity event with volunteers.,2,plans,[CLS],He,[MASK],a,charity,event,with,volunteers,.,[SEP],,,,,,,,,,,,,,,,
66,926,NH,2,23,P100,5,It is longer than a 25-meter swimming pool!,10,pool,[CLS],It,is,longer,than,a,25,-,meter,swimming,[MASK],!,[SEP],,,,,,,,,,,,,
67,792,NH,2,16,P74,29,"If you’re in a wheelchair, or pushing a stroller, you can use the ramp.",9,pushing,[CLS],If,you,’re,in,a,wheelchair,",",or,[MASK],a,stroller,",",you,can,use,the,ramp,.,[SEP],,,,,,
68,1017,NH,2,29,P119,16,"Third, a solar cooker is safe because it does not make smoke.  ",7,safe,[CLS],Third,",",a,solar,cooker,is,[MASK],because,it,does,not,make,smoke,.,[SEP],,,,,,,,,,
69,1307,NH,3,13,P58,7,Wait in a safe place until it stops.,4,safe,[CLS],Wait,in,a,[MASK],place,until,it,stops,.,[SEP],,,,,,,,,,,,,,,
70,811,NH,2,18,P80,3,There are many seats for the audience.,4,seats,[CLS],There,are,many,[MASK],for,the,audience,.,[SEP],,,,,,,,,,,,,,,,
71,1157,NH,3,6,P28,35,That's almost twice the size of Japan.,6,size,[CLS],That,'s,almost,twice,the,[MASK],of,Japan,.,[SEP],,,,,,,,,,,,,,,
72,1072,NH,3,2,P12,29,"In fact, ukiyo-e prints were sold like posters.",8,sold,[CLS],In,fact,",",ukiyo,-e,prints,were,[MASK],like,posters,.,[SEP],,,,,,,,,,,,,
73,1187,NH,3,8,P36,14,It says more than fifty products are sold here.,8,sold,[CLS],It,says,more,than,fifty,products,are,[MASK],here,.,[SEP],,,,,,,,,,,,,,
74,1197,NH,3,8,P38,23,Many cacao farm workers are very poor because cacao is sold at a low price.,11,sold,[CLS],Many,cacao,farm,workers,are,very,poor,because,cacao,is,[MASK],at,a,low,price,.,[SEP],,,,,,,,
75,1248,NH,3,11,P52,9,My favorite activity was a husky tour.,7,tour,[CLS],My,favorite,activity,was,a,husky,[MASK],.,[SEP],,,,,,,,,,,,,,,,
76,279,NH,1,19,P88,28,She’s very famous in the U.K.,7,U.K.,[CLS],She,’s,very,famous,in,the,[MASK],[SEP],,,,,,,,,,,,,,,,,
77,526,NH,2,6,P18,3,I'm going to visit the U.K. next week.,7,U.K.,[CLS],I,'m,going,to,visit,the,[MASK],next,week,.,[SEP],,,,,,,,,,,,,,
78,1420,NH,3,17,P88,24,"She wanted to visit him in the U.K., but she could not leave her suffering people behind.",8,U.K.,[CLS],She,wanted,to,visit,him,in,the,[MASK],",",but,she,could,not,leave,her,suffering,people,behind,.,[SEP],,,,,
79,138,NH,1,9,P50,8,Let’s use the doggy bags!,3,use,[CLS],Let,’s,[MASK],the,doggy,bags,!,[SEP],,,,,,,,,,,,,,,,,
80,153,NH,1,11,P58,8,We don’t use that in my country.,4,use,[CLS],We,do,n’t,[MASK],that,in,my,country,.,[SEP],,,,,,,,,,,,,,,
81,766,NH,2,16,P68,3,You can use them easily and safely.,3,use,[CLS],You,can,[MASK],them,easily,and,safely,.,[SEP],,,,,,,,,,,,,,,,
82,778,NH,2,16,P72,15,I used a wheelchair for the first time in my life today.,2,used,[CLS],I,[MASK],a,wheelchair,for,the,first,time,in,my,life,today,.,[SEP],,,,,,,,,,,
83,779,NH,2,16,P72,16,"When I sat in it, I couldn’t use it easily.",10,use,[CLS],When,I,sat,in,it,",",I,could,n’t,[MASK],it,easily,.,[SEP],,,,,,,,,,,
84,792,NH,2,16,P74,29,"If you’re in a wheelchair, or pushing a stroller, you can use the ramp.",15,use,[CLS],If,you,’re,in,a,wheelchair,",",or,pushing,a,stroller,",",you,can,[MASK],the,ramp,.,[SEP],,,,,,
85,793,NH,2,16,P74,30,"These days, many public places use the idea of universal design.",7,use,[CLS],These,days,",",many,public,places,[MASK],the,idea,of,universal,design,.,[SEP],,,,,,,,,,,
86,828,NH,2,18,P82,20,The performer uses them in different ways.,3,uses,[CLS],The,performer,[MASK],them,in,different,ways,.,[SEP],,,,,,,,,,,,,,,,
87,1006,NH,2,29,P118,5,"When you are in a place like this, you can use a solar cooker.  ",12,use,[CLS],When,you,are,in,a,place,like,this,",",you,can,[MASK],a,solar,cooker,.,[SEP],,,,,,,,
88,1007,NH,2,29,P118,6,You can also use one after a disaster.,4,use,[CLS],You,can,also,[MASK],one,after,a,disaster,.,[SEP],,,,,,,,,,,,,,,
89,1020,NH,2,29,P120,19,A solar cooker can solve another big problem because it does not use any fuel.  ,13,use,[CLS],A,solar,cooker,can,solve,another,big,problem,because,it,does,not,[MASK],any,fuel,.,[SEP],,,,,,,,
90,1024,NH,2,29,P120,23,More than two billion people use wood to heat food.  ,6,use,[CLS],More,than,two,billion,people,[MASK],wood,to,heat,food,.,[SEP],,,,,,,,,,,,,
91,1026,NH,2,29,P120,25,"If you use one solar cooker, you can save about 550 kilograms of wood every year.",3,use,[CLS],If,you,[MASK],one,solar,cooker,",",you,can,save,about,550,kilograms,of,wood,every,year,.,[SEP],,,,,,
92,1027,NH,2,29,P121,26,We use a lot of energy in our daily lives.  ,2,use,[CLS],We,[MASK],a,lot,of,energy,in,our,daily,lives,.,[SEP],,,,,,,,,,,,,
93,1029,NH,2,29,P121,28,A solar cooker uses solar power.  ,4,uses,[CLS],A,solar,cooker,[MASK],solar,power,.,[SEP],,,,,,,,,,,,,,,,,
94,1065,NH,3,2,P10,22,Kawaii  is also used outside Japan now.,4,used,[CLS],Kawaii,is,also,[MASK],outside,Japan,now,.,[SEP],,,,,,,,,,,,,,,,
95,1093,NH,3,4,P18,2,It's used when you drink tea.,3,used,[CLS],It,'s,[MASK],when,you,drink,tea,.,[SEP],,,,,,,,,,,,,,,,
96,1532,NH,3,22,P108,19,Michio really used the survival skills the Inuit taught him.  ,3,used,[CLS],Michio,really,[MASK],the,survival,skills,the,Inuit,taught,him,.,[SEP],,,,,,,,,,,,,
97,1551,NH,3,22,P111,38,"He used his photographs to share it with us, ",2,used,[CLS],He,[MASK],his,photographs,to,share,it,with,us,",",[SEP],,,,,,,,,,,,,,
98,550,NH,2,6,P22,27,We can see a great view from the top.,6,view,[CLS],We,can,see,a,great,[MASK],from,the,top,.,[SEP],,,,,,,,,,,,,,
99,1281,NH,3,12,P56,20,I heard a weak voice.,4,weak,[CLS],I,heard,a,[MASK],voice,.,[SEP],,,,,,,,,,,,,,,,,,
100,1290,NH,3,12,P56,27,"She was very weak, but she tried to be a mother to the poor little boy.",4,weak,[CLS],She,was,very,[MASK],",",but,she,tried,to,be,a,mother,to,the,poor,little,boy,.,[SEP],,,,,,
101,1473,NH,3,21,P101,18,She was pale and weak.  ,5,weak,[CLS],She,was,pale,and,[MASK],.,[SEP],,,,,,,,,,,,,,,,,,
102,187,NH,1,15,P68,1,Does Haruki live near a beach?,6,beach,[CLS],Does,Haruki,live,near,a,[MASK],?,[SEP],,,,,,,,,,,,,,,,,
103,190,NH,1,15,P68,4,The city has many beautiful beaches.,6,beaches,[CLS],The,city,has,many,beautiful,[MASK],.,[SEP],,,,,,,,,,,,,,,,,
104,191,NH,1,15,P68,5,Does he go to the beach every day?,6,beach,[CLS],Does,he,go,to,the,[MASK],every,day,?,[SEP],,,,,,,,,,,,,,,
105,939,NH,2,25,P104,2,"One day, he sees a dolphin on a beach.",10,beach,[CLS],One,day,",",he,sees,a,dolphin,on,a,[MASK],.,[SEP],,,,,,,,,,,,,
106,10,NH,1,1,P5,11,Close your book.,1,Close,[CLS],[MASK],your,book,.,[SEP],,,,,,,,,,,,,,,,,,,,
107,1501,NH,3,21,P103,44,He saw her smile as the door closed.,8,closed,[CLS],He,saw,her,smile,as,the,door,[MASK],.,[SEP],,,,,,,,,,,,,,,
108,1306,NH,3,13,P58,6,"In case of an earthquake, cover your head first.",7,cover,[CLS],In,case,of,an,earthquake,",",[MASK],your,head,first,.,[SEP],,,,,,,,,,,,,
109,888,NH,2,22,P96,1,Why did my grandmother die?,5,die,[CLS],Why,did,my,grandmother,[MASK],?,[SEP],,,,,,,,,,,,,,,,,,
110,951,NH,2,25,P106,14,"Without a tail, she’ll die.",7,die,[CLS],Without,a,tail,",",she,’ll,[MASK],.,[SEP],,,,,,,,,,,,,,,,
111,1019,NH,2,29,P119,18,A lot of children die from its smoke.,5,die,[CLS],A,lot,of,children,[MASK],from,its,smoke,.,[SEP],,,,,,,,,,,,,,,
112,1296,NH,3,12,P57,33,"After a while, the boy stopped crying and quietly died.  ",11,died,[CLS],After,a,while,",",the,boy,stopped,crying,and,quietly,[MASK],.,[SEP],,,,,,,,,,,,
113,1419,NH,3,17,P88,23,"In 1999, Aung San Suu Kyi’s husband was dying of cancer.",11,dying,[CLS],In,1999,",",Aung,San,Suu,Kyi,’s,husband,was,[MASK],of,cancer,.,[SEP],,,,,,,,,,
114,1253,NH,3,11,P53,14,We went to a vast snow field at night to see one.,7,field,[CLS],We,went,to,a,vast,snow,[MASK],at,night,to,see,one,.,[SEP],,,,,,,,,,,
115,352,NH,1,25,P108,8,Can you guess?,3,guess,[CLS],Can,you,[MASK],?,[SEP],,,,,,,,,,,,,,,,,,,,
116,611,NH,2,10,P42,2,Guess what!,1,Guess,[CLS],[MASK],what,!,[SEP],,,,,,,,,,,,,,,,,,,,,
117,1511,NH,3,21,P104,53,"He said to himself, Anyway, I believe fate guided me to her!",11,guided,[CLS],He,said,to,himself,",",Anyway,",",I,believe,fate,[MASK],me,to,her,!,[SEP],,,,,,,,,
118,335,NH,1,24,P106,4,I am in a hotel in Boston with my family.,5,hotel,[CLS],I,am,in,a,[MASK],in,Boston,with,my,family,.,[SEP],,,,,,,,,,,,,
119,1225,NH,3,9,P44,8,Let’s meet in front of your hotel at 10:30.,8,hotel,[CLS],Let,’s,meet,in,front,of,your,[MASK],at,10:30,.,[SEP],,,,,,,,,,,,,
120,747,NH,2,14,P60,43,They like to laugh.,4,laugh,[CLS],They,like,to,[MASK],.,[SEP],,,,,,,,,,,,,,,,,,,
121,809,NH,2,18,P80,1,Come and Laugh!,3,Laugh,[CLS],Come,and,[MASK],!,[SEP],,,,,,,,,,,,,,,,,,,,
122,858,NH,2,19,P90,3,"Eating, talking, laughing",5,laughing,[CLS],Eating,",",talking,",",[MASK],[SEP],,,,,,,,,,,,,,,,,,,
123,320,NH,1,22,P100,7,Turn left at the second traffic light.,7,light,[CLS],Turn,left,at,the,second,traffic,[MASK],.,[SEP],,,,,,,,,,,,,,,,
124,1255,NH,3,11,P53,16,We could see a band of bright green lights in the sky.,9,lights,[CLS],We,could,see,a,band,of,bright,green,[MASK],in,the,sky,.,[SEP],,,,,,,,,,,
125,1049,NH,3,2,P8,6,Was this picture also painted by the same person?,5,painted,[CLS],Was,this,picture,also,[MASK],by,the,same,person,?,[SEP],,,,,,,,,,,,,,
126,1051,NH,3,2,P8,8,When was it painted?,4,painted,[CLS],When,was,it,[MASK],?,[SEP],,,,,,,,,,,,,,,,,,,
127,1054,NH,3,2,P8,11,It was painted in 1887.,3,painted,[CLS],It,was,[MASK],in,1887,.,[SEP],,,,,,,,,,,,,,,,,,
128,900,NH,2,22,P97,12,"One day, he heard some hymns on the radio.",10,radio,[CLS],One,day,",",he,heard,some,hymns,on,the,[MASK],.,[SEP],,,,,,,,,,,,,
129,160,NH,1,11,P60,15,"India is famous for curry, right?",7,right,[CLS],India,is,famous,for,curry,",",[MASK],?,[SEP],,,,,,,,,,,,,,,,
130,510,NH,2,4,P12,20,"Now you're sleeping, right?",6,right,[CLS],Now,you,'re,sleeping,",",[MASK],?,[SEP],,,,,,,,,,,,,,,,,
131,568,NH,2,7,P28,5,All right. ,2,right,[CLS],All,[MASK],.,[SEP],,,,,,,,,,,,,,,,,,,,,
132,573,NH,2,8,P32,2,Wash your hands in the right way.,6,right,[CLS],Wash,your,hands,in,the,[MASK],way,.,[SEP],,,,,,,,,,,,,,,,
133,685,NH,2,13,P52,39,Take down this bridge right now!,5,right,[CLS],Take,down,this,bridge,[MASK],now,!,[SEP],,,,,,,,,,,,,,,,,
134,719,NH,2,14,P56,15,All right. ,2,right,[CLS],All,[MASK],.,[SEP],,,,,,,,,,,,,,,,,,,,,
135,744,NH,2,14,P60,40,You’re right.  ,3,right,[CLS],You,’re,[MASK],.,[SEP],,,,,,,,,,,,,,,,,,,,
136,1278,NH,3,12,P55,17,You’ll be all right soon.,5,right,[CLS],You,’ll,be,all,[MASK],soon,.,[SEP],,,,,,,,,,,,,,,,,
137,1294,NH,3,12,P57,31,You’ll be all right.,5,right,[CLS],You,’ll,be,all,[MASK],.,[SEP],,,,,,,,,,,,,,,,,,
138,1312,NH,3,13,P60,12,"So it’s necessary for us to prepare for disasters, right?",12,right,[CLS],So,it,’s,necessary,for,us,to,prepare,for,disasters,",",[MASK],?,[SEP],,,,,,,,,,,
139,1353,NH,3,15,P72,10,That’s right.,3,right,[CLS],That,’s,[MASK],.,[SEP],,,,,,,,,,,,,,,,,,,,
140,1482,NH,3,21,P102,27,I’ll be right back.,4,right,[CLS],I,’ll,be,[MASK],back,.,[SEP],,,,,,,,,,,,,,,,,,
141,876,NH,2,21,P94,5,You can see some round houses.,5,round,[CLS],You,can,see,some,[MASK],houses,.,[SEP],,,,,,,,,,,,,,,,,
142,1106,NH,3,5,P20,9,Your father often wears aloha shirts to work.,6,shirts,[CLS],Your,father,often,wears,aloha,[MASK],to,work,.,[SEP],,,,,,,,,,,,,,,
143,1113,NH,3,5,P20,16,"Actually, the first aloha shirts in Hawaii were made by people from Asia.",6,shirts,[CLS],Actually,",",the,first,aloha,[MASK],in,Hawaii,were,made,by,people,from,Asia,.,[SEP],,,,,,,,,
144,1119,NH,3,5,P20,21,Today aloha shirts are known around the world as example of Hawaiian culture.,3,shirts,[CLS],Today,aloha,[MASK],are,known,around,the,world,as,example,of,Hawaiian,culture,.,[SEP],,,,,,,,,,
145,346,NH,1,25,P108,2,We can skate there.,3,skate,[CLS],We,can,[MASK],there,.,[SEP],,,,,,,,,,,,,,,,,,,
146,347,NH,1,25,P108,3,Can you skate?,3,skate,[CLS],Can,you,[MASK],?,[SEP],,,,,,,,,,,,,,,,,,,,
147,575,NH,2,8,P32,4,Greet customers with a smile to welcome them.,5,smile,[CLS],Greet,customers,with,a,[MASK],to,welcome,them,.,[SEP],,,,,,,,,,,,,,,
148,704,NH,2,13,P53,57,He left with a smile.,5,smile,[CLS],He,left,with,a,[MASK],.,[SEP],,,,,,,,,,,,,,,,,,
149,1477,NH,3,21,P102,22,"The woman looked at Rudolf calmly, and smiled.",9,smiled,[CLS],The,woman,looked,at,Rudolf,calmly,",",and,[MASK],.,[SEP],,,,,,,,,,,,,,
150,1501,NH,3,21,P103,44,He saw her smile as the door closed.,4,smile,[CLS],He,saw,her,[MASK],as,the,door,closed,.,[SEP],,,,,,,,,,,,,,,
151,185,NH,1,14,P66,7,He speaks English really well.,2,speaks,[CLS],He,[MASK],English,really,well,.,[SEP],,,,,,,,,,,,,,,,,,
152,237,NH,1,17,P80,20,What language do people in Brazil speak?,7,speak,[CLS],What,language,do,people,in,Brazil,[MASK],?,[SEP],,,,,,,,,,,,,,,,
153,239,NH,1,17,P80,22,We speak Portuguese.,2,speak,[CLS],We,[MASK],Portuguese,.,[SEP],,,,,,,,,,,,,,,,,,,,
154,240,NH,1,17,P80,23,But you speak English well.,3,speak,[CLS],But,you,[MASK],English,well,.,[SEP],,,,,,,,,,,,,,,,,,
155,241,NH,1,17,P80,24,"Does Maria speak English, too?",3,speak,[CLS],Does,Maria,[MASK],English,",",too,?,[SEP],,,,,,,,,,,,,,,,,
156,246,NH,1,17,P80,28,"Which do you speak at home, English or Portuguese?",4,speak,[CLS],Which,do,you,[MASK],at,home,",",English,or,Portuguese,?,[SEP],,,,,,,,,,,,,
157,708,NH,2,14,P54,4,You have to speak English here.,4,speak,[CLS],You,have,to,[MASK],English,here,.,[SEP],,,,,,,,,,,,,,,,,
158,709,NH,2,14,P54,5,But you don’t have to speak perfect English.,7,speak,[CLS],But,you,do,n’t,have,to,[MASK],perfect,English,.,[SEP],,,,,,,,,,,,,,
