,sentence,masked_word
76,She’s very famous in the [MASK],U.K.
77,I'm going to visit the [MASK] next week.,U.K.
78,"She wanted to visit him in the [MASK], but she could not leave her suffering people behind.",U.K.
79,Let’s [MASK] the doggy bags!,use
80,We don’t [MASK] that in my country.,use
81,You can [MASK] them easily and safely.,use
82,I [MASK] a wheelchair for the first time in my life today.,used
83,"When I sat in it, I couldn’t [MASK] it easily.",use
84,"If you’re in a wheelchair, or pushing a stroller, you can [MASK] the ramp.",use
85,"These days, many public places [MASK] the idea of universal design.",use
86,The performer [MASK] them in different ways.,uses
87,"When you are in a place like this, you can [MASK] a solar cooker.  ",use
88,You can also [MASK] one after a disaster.,use
89,A solar cooker can solve another big problem beca[MASK] it does not [MASK] any fuel.  ,use
90,More than two billion people [MASK] wood to heat food.  ,use
91,"If you [MASK] one solar cooker, you can save about 550 kilograms of wood every year.",use
92,We [MASK] a lot of energy in our daily lives.  ,use
93,A solar cooker [MASK] solar power.  ,uses
94,Kawaii  is also [MASK] outside Japan now.,used
95,It's [MASK] when you drink tea.,used
96,Michio really [MASK] the survival skills the Inuit taught him.  ,used
97,"He [MASK] his photographs to share it with us, ",used
98,We can see a great [MASK] from the top.,view
99,I heard a [MASK] voice.,weak
100,"She was very [MASK], but she tried to be a mother to the poor little boy.",weak
101,She was pale and [MASK].  ,weak
102,Does Haruki live near a [MASK]?,beach
103,The city has many beautiful [MASK].,beaches
104,Does he go to the [MASK] every day?,beach
105,"One day, he sees a dolphin on a [MASK].",beach
106,[MASK] your book.,Close
107,He saw her smile as the door [MASK].,closed
108,"In case of an earthquake, [MASK] your head first.",cover
109,Why did my grandmother [MASK]?,die
110,"Without a tail, she’ll [MASK].",die
111,A lot of children [MASK] from its smoke.,die
112,"After a while, the boy stopped crying and quietly [MASK].  ",died
113,"In 1999, Aung San Suu Kyi’s husband was [MASK] of cancer.",dying
114,We went to a vast snow [MASK] at night to see one.,field
115,Can you [MASK]?,guess
116,[MASK] what!,Guess
117,"He said to himself, Anyway, I believe fate [MASK] me to her!",guided
118,I am in a [MASK] in Boston with my family.,hotel
119,Let’s meet in front of your [MASK] at 10:30.,hotel
120,They like to [MASK].,laugh
121,Come and [MASK]!,Laugh
122,"Eating, talking, [MASK]",laughing
123,Turn left at the second traffic [MASK].,light
124,We could see a band of bright green [MASK] in the sky.,lights
125,Was this picture also [MASK] by the same person?,painted
126,When was it [MASK]?,painted
127,It was [MASK] in 1887.,painted
128,"One day, he heard some hymns on the [MASK].",radio
129,"India is famous for curry, [MASK]?",right
130,"Now you're sleeping, [MASK]?",right
131,All [MASK]. ,right
132,Wash your hands in the [MASK] way.,right
133,Take down this bridge [MASK] now!,right
134,All [MASK]. ,right
135,You’re [MASK].  ,right
136,You’ll be all [MASK] soon.,right
137,You’ll be all [MASK].,right
138,"So it’s necessary for us to prepare for disasters, [MASK]?",right
139,That’s [MASK].,right
140,I’ll be [MASK] back.,right
141,You can see some [MASK] houses.,round
142,Your father often wears aloha [MASK] to work.,shirts
143,"Actually, the first aloha [MASK] in Hawaii were made by people from Asia.",shirts
144,Today aloha [MASK] are known around the world as example of Hawaiian culture.,shirts
145,We can [MASK] there.,skate
146,Can you [MASK]?,skate
147,Greet customers with a [MASK] to welcome them.,smile
148,He left with a [MASK].,smile
149,"The woman looked at Rudolf calmly, and [MASK].",smiled
150,He saw her [MASK] as the door closed.,smile
151,He [MASK] English really well.,speaks
152,What language do people in Brazil [MASK]?,speak
153,We [MASK] Portuguese.,speak
154,But you [MASK] English well.,speak
155,"Does Maria [MASK] English, too?",speak
156,"Which do you [MASK] at home, English or Portuguese?",speak
157,You have to [MASK] English here.,speak
158,But you don’t have to [MASK] perfect English.,speak
159,"May I [MASK] to Erika, please?",speak
160,"May I [MASK] to Meg, please?",speak
161,Each class sings together on [MASK].,stage
162,There is a single cushion on the [MASK].,stage
163,Is there a special [MASK] set?,stage
164,"I tried to learn the [MASK] menu, but I couldn’t.",whole
165,"Collecting wood is hard work, especially for [MASK] and children.  ",women
166,Is she the [MASK] Ms. Baker talked about?,woman
167,A young [MASK] stood there.  ,woman
168,"After a while, the [MASK] opened her eyes. ",woman
169,"The [MASK] looked at Rudolf calmly, and smiled.",woman
170,The [MASK] began to eat and told him about herself.  ,woman
171,"Nobody, answered the [MASK].  ",woman
172,So I asked her for some [MASK].,advice
173,Homestay [MASK],Advice
174,Thank you for your [MASK].,advice
175,"He said to himself, [MASK], I believe fate guided me to her!",Anyway
176,"Well, I built a [MASK] over the stream.",bridge
177,Take down this [MASK] right now!,bridge
178,Ben ran across the [MASK] and came to talk to Mary.,bridge
179,"Well, the [MASK] worked!",bridge
180,You built a [MASK] between us.,bridge
181,I have many other [MASK] to build.,bridges
182,Laughter is a strong [MASK].,bridge
183,He's from [MASK].,Canada
184,I'm going to talk about [MASK].,Canada
185,[MASK] is north of the United States.,Canada
186,"There are many places to see in [MASK], like Niagara Falls and Canadian Rockies.",Canada
187,A lot of people go to [MASK] to enjoy its beautiful nature.,Canada
188,We [MASK] many fish.,caught
189,"She began to fall, but Rudolf [MASK] her in his arms and carried her to a sofa in the room.  ",caught
190,A photograph in the book [MASK] his attention.  ,caught
191,The polar bears and seals photographed by Michio cannot hunt and [MASK] food.  ,catch
192,"I want two lemons, three peaches, and two packs of [MASK], please.",cherries
193,There is always an adventure just around the [MASK] . . .,corner
194,The world recognized her [MASK] for democracy and human rights.,efforts
195,Where’s my [MASK]?,eraser
196,They were brought from Japan to [MASK].,Europe
197,"At that time, Japanese culture was popular in [MASK].",Europe
198,We usually eat it with our [MASK].,fingers
199,Don’t [MASK]:,forget
200,"Oh, I [MASK] to tell you.",forgot
201,I’ll never [MASK] this trip.,forget
202,I’ll never [MASK] winning the city championship.,forget
203,I'm a high school student in [MASK].,Hawaii
204,She visited [MASK] to study English during her summer vacation.,Hawaii
205,"Actually, the first aloha shirts in [MASK] were made by people from Asia.",Hawaii
206,How were the kimonos brought from Japan to [MASK]? ,Hawaii
207,"I’m going to [MASK] our teachers, too.",invite
208,"He [MASK] Michio to Alaska, and Michio’s dream came true.",invited
209,I like these [MASK].,jackets
210,I learned an important [MASK] from this experience.,lesson
211,I’m a [MASK] of the judo club.,member
212,You’re a [MASK] of the family. ,member
213,Tsutomu started a new life as a [MASK] of the minister’s warm family.,member
214,"In this program, children can borrow instruments and become a [MASK] of an orchestra.",member
215,"More than 350,000 children are [MASK].",members
216,I’ve been a [MASK] of the volleyball team for three years.  ,member
217,My group had four [MASK] who all had different ideas and opinions.  ,members
218,[MASK] me?,Pardon
219,[MASK] me?,Pardon
220,I also learned that ukiyo-e was pop culture in Japan during the Edo [MASK].,period
221,But my parents have some [MASK] in Boston.,rabbits
222,How many [MASK] do they have?,rabbits
223,It’s a story of a naughty [MASK].,rabbit
224,But it’s [MASK].,simple
225,"There are beautiful rooms, a great kitchen, a [MASK] tea room, and so on.  ",simple
226,"Renewable energy facilities often cost a lot, but you may find a [MASK] idea, like a solar cooker.  ",simple
227,Sometimes a [MASK] idea has the power to change the world for the better.,simple
228,He [MASK] English really well.,speaks
229,What language do people in Brazil [MASK]?,speak
230,We [MASK] Portuguese.,speak
231,But you [MASK] English well.,speak
232,"Does Maria [MASK] English, too?",speak
233,"Which do you [MASK] at home, English or Portuguese?",speak
234,You have to [MASK] English here.,speak
235,But you don’t have to [MASK] perfect English.,speak
236,"May I [MASK] to Erika, please?",speak
237,"May I [MASK] to Meg, please?",speak
238,"These days, rakugo is [MASK] to other countries.",spreading
239,The [MASK] is Beatrix Potter.,writer
240,Are you from [MASK]?,America
241,She plays soccer in [MASK] now.,America
242,He’s one of the Founding Fathers of [MASK].,America
243,"With a solar cooker, they do not have to collect wood [MASK].",anymore
244,He plans a [MASK] event with volunteers.,charity
245,It was just an advertisement for a [MASK]’s office.,dentist
246,"Many cards were thrown away on the street, but they were all for the [MASK].",dentist
247,"Why did I receive these mysterious cards, not the [MASK]’s ones?",dentist
248,"Behind the card man, Rudolf saw a building that had the [MASK]’s office and some shops on the first two floors.  ",dentist
249,I was handing them out with the [MASK]’s cards.,dentist
250,The [MASK] is larger than the tuna.,dolphin
251,But the tuna swims faster than the [MASK].,dolphin
252,"I love [MASK], so I really enjoyed your book.",dolphins
253,"One day, he sees a [MASK] on a beach.",dolphin
254,The [MASK] has a serious tail injury.,dolphin
255,She can swim as well as other [MASK].,dolphins
256,Michio tried to show this [MASK] of freedom and wonder in his photographs.  ,feeling
257,[MASK],Forever
258,"In Michio’s photographs, the beauty of Alaska will stay with us [MASK].  ",forever
259,"At first, it was difficult for us to win a game, but we’ve [MASK] a lot.  ",improved
260,I [MASK] the shampoo for the conditioner last night.,mistook
261,"By [MASK], he replied.  ",mistake
262,They even hold rakugo shows for their [MASK].,patients
263,Its water power produces about eighty [MASK] of Brazil's electricity.,percent
264,That forest produces about twenty [MASK] of the world's oxygen.,percent
265,"For example, look at this [MASK] bottle.",plastic
266,Rangers work for the park to [MASK] its environment.,protect
267,Learn how to [MASK] yourself.,protect
268,He [MASK] that every door on that floor was green.,realized
269,"I want everyone to learn the importance of [MASK] differences, and I believe there will be something I can do to help.  ",respecting
270,The dolphin has a [MASK] tail injury.,serious
271,I think choosing fair trade products is one way to [MASK] them.,support
272,That's a nice [MASK].,T-shirt
273,"Second, I want to make useful [MASK].",websites
274,His father was Mexican-[MASK] and his mother was Japanese.,American
275,"Many Japanese students wear school uniforms, but most [MASK] students do not.",American
276,The number of elderly people is [MASK].,increasing
277,I want to be a player who can lead a team to the [MASK] tournament.,national
278,Rudolf was sure that an [MASK] was waiting for him.,adventure
279,There is always an [MASK] just around the corner . . .,adventure
280,It was a prize that attracted people’s [MASK].,attention
281,A photograph in the book caught his [MASK].  ,attention
282,I’m a traveling [MASK].,carpenter
283,Is it [MASK]?,chocolate
284,"[MASK], coffee, clothes….",Chocolates
285,It’s made into [MASK].,chocolate
286,"If you buy fair trade [MASK], more money goes to the workers.",chocolate
287,I’ve just tried some fair trade [MASK] with my family.,chocolate
288,The children in today’s video don’t know that cacao is made into [MASK].,chocolate
289,They have never eaten [MASK] themselves.,chocolate
290,It’s [MASK].,dangerous
291,Other robots can work in [MASK] places instead of people.,dangerous
292,They’re too [MASK] to be our partners.,dangerous
293,Maybe Michio’s Alaskan photographs will [MASK] us to think about the beautiful Earth we share.,encourage
294,"Between the 1970s and 2010, about 740,000 square [MASK] of the forest disappeared.",kilometers
295,Are you from [MASK] York?,New
296,The Japanese [MASK] Year,New
297,"On [MASK] Year’s Eve, my friend and I enjoyed the Japanese way of life.  ",New
298,"On [MASK] Year’s Day, we visited a shrine early in the morning.  ",New
299,I am a junior high school student in [MASK] York.,New
300,"I’m Takigawa Erika, a 15-year-old girl living in [MASK] York.  ",New
301,"In [MASK] York, I’ve met people from all over the world.  ",New
302,"In case of an [MASK], cover your head first.",earthquake
303,It’s difficult for me to imagine a big [MASK].,earthquake
304,"After the [MASK] hit Japan in 2011, he wondered how to help as a craftsperson.",earthquake
305,I've been worried about this problem since I was in [MASK] school.,elementary
306,I want to be a [MASK].,journalist
307,"Mr. Suzuki, a [MASK], showed us around the office.",journalist
308,"Mr. Suzuki, a [MASK], took us there.",journalist
309,"Hello, [MASK] Walker.",Mrs.
310,"Thank you, [MASK] Walker.",Mrs.
311,He studies at a [MASK] there.,university
312,"He was a [MASK] student, and one day he was looking at a book about Alaska.  ",university
313,"After Michio finished [MASK] in Japan, he returned to Alaska.  ",university
314,He also learned skills for living without city [MASK].  ,conveniences
315,There is no [MASK] or gas.  ,electricity
316,Its water power produces about eighty percent of Brazil's [MASK].,electricity
317,You can get a lot of [MASK] about dinosaurs and natural history at the museum.,information
318,I'm Judy Smith from the [MASK] States.,United
319,Ms. Miyama played for some teams in the [MASK] States.,United
320,I’m from the [MASK] States.,United
321,Canada is north of the [MASK] States.,United
322,You have been successful in the [MASK] States.,United
323,This is a book I brought from the [MASK] States.,United
324,I think that we should also have school uniforms in the [MASK] States.,United
325,Cutting trees in forests adds to [MASK] warming. ,global
326,"However, the Alaskan wilderness is changing because of [MASK] warming.  ",global
327,It’s 4 [MASK],a.m.
328,"April 20, 4:25 [MASK]",a.m.
329,You wrote your message at 4:25 [MASK] Japan time.,a.m.
330,"Future robots may be [MASK] to help them when they take a bath, or go shopping.",able
331,"I live there with my parents, grandparents, two uncles, three [MASK], and three cousins.",aunts
332,"I heard some of them can walk, talk, and even kick a [MASK].",ball
333,Rudolf read the [MASK].  ,card
334,A man who also received a [MASK] threw his away in front of Rudolf.  ,card
335,Rudolf wondered why and walked past the [MASK] man again.  ,card
336,He got another [MASK] with the words The Green Door.  ,card
337,"Many [MASK] were thrown away on the street, but they were all for the dentist.",cards
338,"Why did I receive these mysterious [MASK], not the dentist’s ones?",cards
339,"Behind the [MASK] man, Rudolf saw a building that had the dentist’s office and some shops on the first two floors.  ",card
340,Rudolf did not think that he should tell her about the [MASK].,cards
341,"Rudolf stepped out on the street and asked the [MASK] man, ",card
342,Why did you give me these [MASK]?,cards
343,I was handing them out with the dentist’s [MASK].,cards
344,"Are you in the judo [MASK], Saki?",club
345,I’m a member of the judo [MASK].,club
346,[MASK] December 10,DATE
347,This [MASK] is delicious. ,dish
348,They read a message on the [MASK].  ,door
349,Then the hunters saw two shiny eyes in two big keyholes of the [MASK].  ,door
350,Someone knocked at Mary’s [MASK].,door
351,"Then the [MASK] of Ben’s house opened, and Ben came out of his house.",door
352,The bus [MASK] was wide.,door
353,Only three words were written on it The Green [MASK].  ,Door
354,He got another card with the words The Green [MASK].  ,Door
355,"On the left, he saw a green [MASK].  ",door
356,He walked straight to the [MASK] and knocked.,door
357,"Slowly, the [MASK] opened.  ",door
358,Then she heard the knock on her green [MASK].,door
359,"At the [MASK], she asked, But why did you knock at my [MASK]?",door
360,He saw her smile as the [MASK] closed.,door
361,He realized that every [MASK] on that floor was green.,door
362,"Above the theater entrance, there was a big sign saying The Green [MASK].  ",Door
363,My sister often [MASK] the koalas in the trees.,draws
364,"In case of a [MASK], go outside.",fire
365,The world is [MASK] of interesting places.,full
366,I'm [MASK].,full
367,We [MASK] some fish to them.,gave
368,But my host mother always [MASK] me too much food.,gives
369,"From now on, when I see someone in need, I’ll [MASK] them a hand.",give
370,"In 2012, he was [MASK] special birthday parties in Hong Kong and Taiwan.",given
371,"She was locked up for 15 years in total, but she never [MASK] up.",gave
372,Why did you [MASK] me these cards?,give
373,I washed my [MASK] twice.,hair
374,We want to [MASK] a farewell party for you.,hold
375,We can [MASK] it easily because it has a special shape.,hold
376,They even [MASK] rakugo shows for their patients.,hold
377,She [MASK] him in her arms like a real mother.,held
378,She [MASK] the boy more tightly and began to sing again.,held
379,A great number of people who joined it were [MASK].,killed
380,"In 1996, he was [MASK] by a bear as he camped alone in Kamchatka.  ",killed
381,Drinking water from rivers and [MASK] is one of the biggest causes of disease.,lakes
382,Turn [MASK] at the second traffic light.,left
383,I [MASK] home at seven fifty.,leave
384,He [MASK] with a smile.,left
385,Why did everyone [MASK] me?,leave
386,Both of them [MASK] home when he was a baby.,left
387,But can I [MASK] a message?,leave
388,"She wanted to visit him in the U.K., but she could not [MASK] her suffering people behind.",leave
389,"As the plane [MASK] him, Michio felt lonely in a vast wilderness.  ",left
390,I wish you the best of [MASK].,luck
391,"[MASK], my brother, works in this Chinese restaurant.",Mike
392,"Oh, [MASK] is coming.",Mike
393,I often have toast and [MASK].,milk
394,"I’m scared of [MASK], too.",milk
395,TIME 2:30 [MASK],p.m.
396,And I think it’s important to keep the [MASK] in mind.,past
397,Rudolf wondered why and walked [MASK] the card man again.  ,past
398,You have to follow the family’s [MASK].,rules
399,"If you are interested, we will [MASK] you a catalog.",send
400,"Above the theater entrance, there was a big [MASK] saying The Green Door.  ",sign
401,We went to a vast [MASK] field at night to see one.,snow
402,"Rudolf [MASK] out on the street and asked the card man, ",stepped
403,"Well, I’m scared of [MASK].",tests
404,"This is my [MASK] in Fujian, China.",town
405,I like my house and [MASK] because living together with a big family is fun.,town
406,This movie is a [MASK] story of the bond between people and animals.,true
407,That’s [MASK].,true
408,"That’s [MASK], but I’m a little afraid of living with robots.",true
409,"He invited Michio to Alaska, and Michio’s dream came [MASK].",true
410,The [MASK] blew over them.,wind
411,"There are other examples of this energy, such as water, [MASK], and natural heat in the ground.",wind
412,"I love nature, and I like to hike in the [MASK].",woods
413,People need a lot of [MASK] to cook every day.  ,wood
414,"Collecting [MASK] is hard work, especially for women and children.  ",wood
415,"With a solar cooker, they do not have to collect [MASK] anymore.",wood
416,More than two billion people use [MASK] to heat food.  ,wood
417,"If you use one solar cooker, you can save about 550 kilograms of [MASK] every year.",wood
418,You need to get [MASK] with your teammates.,along
419,Can you make a big fence [MASK] the stream?,along
420,It wasn’t easy for me to get [MASK] with them.  ,along
421,It has been popular [MASK] tourists for a long time because the nature there is really beautiful.,among
422,"For one summer, Michio lived [MASK] the Inuit people in that Alaskan village.  ",among
423,"Oh, you sound so [MASK].",angry
424,A lot of people [MASK] it.,climb
425,When can you [MASK] it?,climb
426,We can’t [MASK] it during winter.,climb
427,He entered the building and [MASK] to the third floor.  ,climbed
428,Look at that [MASK] tower beside the Thames.,clock
429,[MASK] your book.,Close
430,He saw her smile as the door [MASK].,closed
431,Japanese [MASK] storytelling,comic
432,My favorite [MASK] is Star Trip.,comic
433,It’s the most popular [MASK] this year.,comic
434,"Last month, we had a [MASK].",dance
435,Both students and teachers [MASK] in the cafeteria on that day.,danced
436,Kota is [MASK] water.,drinking
437,[MASK] water from rivers and lakes is one of the biggest causes of disease.,Drinking
438,It's used when you [MASK] tea.,drink
439,We usually [MASK] it with our fingers.,eat
440,"Oh, you [MASK] a lot!",eat
441,We can [MASK] here.,eat
442,"For example, we [MASK] Echizen soba.",ate
443,"Do I have to [MASK] everything, or can I tell her?",eat
444,"The food tastes delicious, but I can’t [MASK] that much.",eat
445,Mark starts [MASK] the donuts.,eating
446,So I’m [MASK] them.,eating
447,"[MASK], talking, laughing",Eating
448,You need to [MASK] every day.  ,eat
449,They have never [MASK] chocolate themselves.,eaten
450,I haven’t [MASK] for three days.,eaten
451,"It’s ridiculous to go without [MASK], said Rudolf.",eating
452,The woman began to [MASK] and told him about herself.  ,eat
453,He [MASK] the building and climbed to the third floor.  ,entered
454,"After this little [MASK], Ben took the cow.",fight
455,She’s a political leader who [MASK] for democracy and human rights in Myanmar.,fights
456,"She is still [MASK] for a world that is free from the displaced, the homeless, and the hopeless.",fighting
457,I’m from [MASK].,India
458,"[MASK] is famous for curry, right?",India
459,Do you [MASK] about judo?,know
460,Do you [MASK] the animals of Australia?,know
461,I [MASK] koalas and kangaroos.,know
462,I don’t [MASK].,know
463,Do you [MASK] this book?,know
464,Do you [MASK] any other good books?,know
465,"Oh, I [MASK] Peter Rabbit.",know
466,Do you [MASK] about her?,know
467,Maybe you [MASK] it from the Harry Potter movies.,know
468,She [MASK] a lot about nature.,knows
469,But I don’t [MASK] how.,know
470,Did you [MASK] that shampoo bottles have bumps?,know
471,Winter [MASK] that Sawyer saved her life.,knows
472,"I [MASK] little about them before, but I learned that both are much loved in foreign countries.",knew
473,Today aloha shirts are [MASK] around the world as example of Hawaiian culture.,known
474,How did you [MASK] that?,know
475,How long have you [MASK] him?,known
476,The children in today’s video don’t [MASK] that cacao is made into chocolate.,know
477,Do you [MASK] what to do in an emergency?,know
478,Do you [MASK] what they can do?,know
479,I [MASK] what you mean. ,know
480,"If they get out of control, we don’t [MASK] what they’ll do.",know
481,I’m here to [MASK] about jobs in restaurants.,learn
482,"I tried to [MASK] the whole menu, but I couldn’t.",learn
483,"For my future, I have many things to [MASK].",learn
484,I [MASK] an important lesson from this experience.,learned
485,You can [MASK] about history there.,learn
486,He also [MASK] singing and sang in church.,learned
487,"My family is poor, but I [MASK] music thanks to a special program.",learn
488,"I knew little about them before, but I [MASK] that both are much loved in foreign countries.",learned
489,I also [MASK] that ukiyo-e was pop culture in Japan during the Edo period.,learned
490,[MASK] about the people behind the products is another.,Learning
491,I was glad to [MASK] about fair trade today.,learn
492,I want to [MASK] more.,learn
493,[MASK] how to protect yourself.,Learn
494,"In the class, students work in groups and [MASK] how to make their own movies.  ",learn
495,Filmmaking taught me to accept differences and [MASK] from other people.  ,learn
496,"I want everyone to [MASK] the importance of respecting differences, and I believe there will be something I can do to help.  ",learn
497,"He [MASK] about Inuit food, family life, and culture.  ",learned
498,He also [MASK] skills for living without city conveniences.  ,learned
499,[MASK]'s read together.,Let
500,[MASK]’s use the doggy bags!,Let
501,[MASK]’s check it out later.,Let
502,[MASK]’s check your answers.,Let
503,[MASK]'s see…,Let
504,[MASK]’s walk there.,Let
505,[MASK]’s go!,Let
506,[MASK]'s go.,Let
507,[MASK]'s keep in touch.,Let
508,[MASK]’s compare sea animals.,Let
509,[MASK]’s talk about the movie tomorrow.,Let
510,[MASK]’s meet in front of your hotel at 10:30.,Let
511,"Today, [MASK]’s talk about living with robots.",let
512,"On New Year’s Eve, my friend and I enjoyed the Japanese way of [MASK].  ",life
513,But I enjoy my [MASK] in Japan with you all.,life
514,I used a wheelchair for the first time in my [MASK] today.,life
515,Tsutomu told him about his [MASK].,life
516,Tsutomu started a new [MASK] as a member of the minister’s warm family.,life
517,Winter knows that Sawyer saved her [MASK].,life
518,My [MASK] is happier than before.,life
519,We use a lot of energy in our daily [MASK].  ,lives
520,"Many people lost their [MASK], and many others were injured.",lives
521,I think robots make our [MASK] better because they help us in many ways.,lives
522,It was about the [MASK] of Aung San Suu Kyi.,life
523,Political [MASK],Life
524,Personal [MASK],Life
525,This is the greatest experience that I’ve had in my school [MASK].  ,life
526,One photograph changed Hoshino Michio’s [MASK].  ,life
527,"He learned about Inuit food, family [MASK], and culture.  ",life
528,"For the Inuit, [MASK] depends on understanding nature.  ",life
529,"We only have one [MASK] to live, wrote Michio.  ",life
530,"Though his [MASK] was cut short, Michio seemed truly happy as a photographer.  ",life
531,Even the Inuit are losing their traditional way of [MASK].,life
532,and to show us the importance of [MASK] on the Earth.  ,life
533,Michio’s own [MASK] was changed because of one photograph.  ,life
534,Perhaps his photographs will also change someone’s [MASK].  ,life
535,My birthday is [MASK] 3.,March
536,"On [MASK] 11, 2012, there was a special violin performance in the city of Rikuzentakata.",March
537,"[MASK] the name comes from its builder, Benjamin Hall.",Maybe
538,[MASK] you know it from the Harry Potter movies.,Maybe
539,[MASK] some other time.,Maybe
540,[MASK] even kawaii culture can become a part of Japanese tradition.,Maybe
541,"Well, [MASK] the prices are fair.",maybe
542,[MASK] Michio’s Alaskan photographs will encourage us to think about the beautiful Earth we share.,Maybe
543,It's 135 [MASK] tall.,meters
544,It is longer than a 25-[MASK] swimming pool!,meter
545,"Many people come, and Sawyer collects [MASK] for Winter.",money
546,"They work hard, but they can’t make enough [MASK] to live.",money
547,"If you buy fair trade chocolate, more [MASK] goes to the workers.",money
548,"Second, having school uniforms saves us [MASK] on clothes.",money
549,She ran out of [MASK] and stayed in her room without hope.  ,money
550,Canada is [MASK] of the United States.,north
551,The Restaurant with Many [MASK],Orders
552,"It said, We have many [MASK].",orders
553,We’re not making [MASK].  ,orders
554,Those messages are [MASK] from this restaurant! ,orders
555,Our [MASK] number is 5390-7416.,phone
556,Would you like another [MASK] of meat loaf?,piece
557,"[MASK], please.",Quiet
558,[MASK] your hand.,Raise
559,"Erika, dinner is [MASK].  ",ready
560,"Are you [MASK], Deepa?",ready
561,"India is famous for curry, [MASK]?",right
562,"Now you're sleeping, [MASK]?",right
563,All [MASK]. ,right
564,Wash your hands in the [MASK] way.,right
565,Take down this bridge [MASK] now!,right
566,All [MASK]. ,right
567,You’re [MASK].  ,right
568,You’ll be all [MASK] soon.,right
569,You’ll be all [MASK].,right
570,"So it’s necessary for us to prepare for disasters, [MASK]?",right
571,That’s [MASK].,right
572,I’ll be [MASK] back.,right
573,"India is famous for curry, [MASK]?",right
574,"Now you're sleeping, [MASK]?",right
575,All [MASK]. ,right
576,Wash your hands in the [MASK] way.,right
577,Take down this bridge [MASK] now!,right
578,All [MASK]. ,right
579,You’re [MASK].  ,right
580,You’ll be all [MASK] soon.,right
581,You’ll be all [MASK].,right
